caseID,activity_chain,next_activity
1-715780861,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - User
1-715780861,"['Accepted - Wait - User', 'Completed - Resolved', 'Completed - Closed']",end
1-715819222,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - Wait - User']",Queued - Awaiting Assignment
1-715819222,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - In Progress
1-715819222,"['Accepted - In Progress', 'Accepted - Wait - User', 'Completed - Resolved']",Accepted - In Progress
1-715819222,"['Accepted - In Progress', 'Accepted - Wait - Vendor', 'Accepted - In Progress']",Accepted - Wait
1-715819222,"['Accepted - Wait', 'Accepted - In Progress', 'Accepted - Wait - Vendor']",Completed - Resolved
1-715819222,"['Completed - Resolved', 'Completed - Closed']",end
1-715860853,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Queued - Awaiting Assignment
1-715860853,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Completed - Resolved']",Accepted - Assigned
1-715860853,"['Accepted - Assigned', 'Accepted - In Progress', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-715860853,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Wait - User']",Queued - Awaiting Assignment
1-715860853,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Wait - User']",Queued - Awaiting Assignment
1-715860853,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Wait - User']",Completed - Resolved
1-715860853,"['Completed - Resolved', 'Completed - Closed']",end
1-715927090,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-715927090,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Accepted - Assigned
1-715927090,"['Accepted - Assigned', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - In Progress
1-715927090,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-715927090,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Completed - Resolved
1-715927090,"['Completed - Resolved', 'Completed - Closed', 'Accepted - In Progress']",Accepted - In Progress
1-715927090,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - In Progress']",Accepted - Wait - User
1-715927090,"['Accepted - Wait - User', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-715927090,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - In Progress']",Accepted - Wait - User
1-715927090,"['Accepted - Wait - User', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-715927090,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-715927090,"['Accepted - In Progress', 'Accepted - In Progress', 'Completed - Resolved']",Completed - Closed
1-715927090,['Completed - Closed'],end
1-715977583,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-715977583,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-715977583,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-715977583,"['Accepted - In Progress', 'Accepted - In Progress', 'Completed - Resolved']",Accepted - Assigned
1-715977583,"['Accepted - Assigned', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-715977583,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-715977583,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-715977583,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-715977583,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-715977583,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-715977583,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-715977583,"['Accepted - In Progress', 'Completed - Resolved', 'Completed - Closed']",end
1-716035538,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716035538,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Assigned
1-716035538,"['Accepted - Assigned', 'Accepted - In Progress', 'Accepted - Wait - Implementation']",Queued - Awaiting Assignment
1-716035538,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716035538,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Assigned
1-716035538,"['Accepted - Assigned', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716035538,"['Accepted - In Progress', 'Accepted - Wait', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-716035538,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-716035538,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-716035538,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Wait - User']",Completed - Resolved
1-716035538,"['Completed - Resolved', 'Completed - Closed']",end
1-716092458,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - In Progress
1-716092458,"['Accepted - In Progress', 'Completed - Resolved', 'Completed - Closed']",end
1-716114500,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716114500,"['Accepted - In Progress', 'Accepted - Wait - User', 'Completed - Resolved']",Completed - Closed
1-716114500,['Completed - Closed'],end
1-716164282,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-716164282,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - Assigned']",Accepted - In Progress
1-716164282,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - Assigned']",Accepted - In Progress
1-716164282,"['Accepted - In Progress', 'Accepted - Wait', 'Accepted - In Progress']",Accepted - Wait - User
1-716164282,"['Accepted - Wait - User', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - In Progress
1-716164282,"['Accepted - In Progress', 'Completed - Resolved', 'Completed - Closed']",end
1-716195100,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716195100,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Completed - Resolved
1-716195100,"['Completed - Resolved', 'Completed - Closed']",end
1-716202992,"['Accepted - In Progress', 'Accepted - In Progress', 'Completed - In Call']",Accepted - In Progress
1-716202992,"['Accepted - In Progress', 'Completed - Resolved', 'Completed - Closed']",end
1-716215673,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - Wait - User']",Queued - Awaiting Assignment
1-716215673,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716215673,"['Accepted - In Progress', 'Accepted - Wait', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-716215673,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Completed - Resolved']",Accepted - In Progress
1-716215673,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - Wait - User']",Completed - Resolved
1-716215673,"['Completed - Resolved', 'Completed - Closed']",end
1-716219287,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716219287,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Accepted - Wait - User
1-716219287,"['Accepted - Wait - User', 'Completed - Resolved', 'Accepted - In Progress']",Accepted - Wait - User
1-716219287,"['Accepted - Wait - User', 'Completed - Resolved', 'Completed - Closed']",end
1-716221928,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - In Progress
1-716221928,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716221928,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - User
1-716221928,"['Accepted - Wait - User', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Assigned
1-716221928,"['Accepted - Assigned', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716221928,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - User
1-716221928,"['Accepted - Wait - User', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - In Progress
1-716221928,"['Accepted - In Progress', 'Completed - Resolved', 'Completed - Closed']",end
1-716224739,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716224739,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-716224739,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716224739,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Completed - Resolved
1-716224739,"['Completed - Resolved', 'Completed - Closed']",end
1-716234193,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - Wait']",Accepted - In Progress
1-716234193,"['Accepted - In Progress', 'Completed - In Call', 'Accepted - In Progress']",Completed - Resolved
1-716234193,"['Completed - Resolved', 'Completed - Closed']",end
1-716234358,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716234358,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - User
1-716234358,"['Accepted - Wait - User', 'Accepted - Wait - User', 'Completed - Resolved']",Completed - Closed
1-716234358,['Completed - Closed'],end
1-716289998,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - Wait - User']",Completed - Resolved
1-716289998,"['Completed - Resolved', 'Completed - Closed']",end
1-716290816,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716290816,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - User
1-716290816,"['Accepted - Wait - User', 'Accepted - Wait - User', 'Completed - Resolved']",Completed - Closed
1-716290816,['Completed - Closed'],end
1-716294642,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716294642,"['Accepted - In Progress', 'Accepted - Wait - User', 'Completed - Resolved']",Completed - Closed
1-716294642,['Completed - Closed'],end
1-716331563,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716331563,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - User
1-716331563,"['Accepted - Wait - User', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716331563,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-716331563,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Accepted - Wait - User
1-716331563,"['Accepted - Wait - User', 'Accepted - In Progress', 'Completed - Resolved']",Completed - Closed
1-716331563,['Completed - Closed'],end
1-716381288,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716381288,"['Accepted - In Progress', 'Completed - Resolved', 'Completed - Closed']",Completed - Closed
1-716381288,"['Completed - Closed', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716381288,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - Assigned']",Accepted - In Progress
1-716381288,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - Assigned']",Accepted - In Progress
1-716381288,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-716381288,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-716381288,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-716381288,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716381288,"['Accepted - In Progress', 'Accepted - Wait - User', 'Completed - Resolved']",Completed - Closed
1-716381288,['Completed - Closed'],end
1-716409968,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-716409968,"['Accepted - In Progress', 'Completed - Resolved', 'Completed - Closed']",end
1-716410137,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-716410137,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Accepted - Wait - Implementation
1-716410137,"['Accepted - Wait - Implementation', 'Accepted - Assigned', 'Accepted - In Progress']",Completed - Resolved
1-716410137,"['Completed - Resolved', 'Completed - Closed']",end
1-716410529,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-716410529,"['Accepted - In Progress', 'Completed - Resolved', 'Completed - Closed']",end
1-716425334,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716425334,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - Assigned']",Accepted - Assigned
1-716425334,"['Accepted - Assigned', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - Assigned
1-716425334,"['Accepted - Assigned', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - Assigned
1-716425334,"['Accepted - Assigned', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - Assigned
1-716425334,"['Accepted - Assigned', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716425334,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-716425334,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716425334,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Assigned
1-716425334,"['Accepted - Assigned', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716425334,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - User
1-716425334,"['Accepted - Wait - User', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716425334,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Accepted - In Progress
1-716425334,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - User
1-716425334,"['Accepted - Wait - User', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-716425334,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - Assigned
1-716425334,"['Accepted - Assigned', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716425334,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-716425334,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716425334,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716425334,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Assigned
1-716425334,"['Accepted - Assigned', 'Accepted - In Progress', 'Completed - Resolved']",Completed - Closed
1-716425334,['Completed - Closed'],end
1-716445231,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-716445231,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716445231,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-716445231,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716445231,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-716445231,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-716445231,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Accepted - Wait - Vendor
1-716445231,"['Accepted - Wait - Vendor', 'Accepted - Assigned', 'Accepted - In Progress']",Accepted - Wait - Implementation
1-716445231,"['Accepted - Wait - Implementation', 'Accepted - In Progress', 'Accepted - Wait - Implementation']",Accepted - In Progress
1-716445231,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - In Progress']",Completed - Resolved
1-716445231,"['Completed - Resolved', 'Completed - Closed']",end
1-716466808,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716466808,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - Assigned']",Accepted - In Progress
1-716466808,"['Accepted - In Progress', 'Accepted - Wait - User', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716466808,"['Accepted - In Progress', 'Accepted - Wait - User', 'Completed - Resolved']",Completed - Closed
1-716466808,['Completed - Closed'],end
1-716467704,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716467704,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Completed - Resolved
1-716467704,"['Completed - Resolved', 'Completed - Closed']",end
1-716473461,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716473461,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Completed - Resolved
1-716473461,"['Completed - Resolved', 'Completed - Closed']",end
1-716510112,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716510112,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Assigned
1-716510112,"['Accepted - Assigned', 'Accepted - In Progress', 'Completed - Resolved']",Completed - Closed
1-716510112,['Completed - Closed'],end
1-716530349,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716530349,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - User
1-716530349,"['Accepted - Wait - User', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-716530349,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Wait - User']",Completed - Resolved
1-716530349,"['Completed - Resolved', 'Completed - Closed']",end
1-716547687,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - Wait - Implementation']",Queued - Awaiting Assignment
1-716547687,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-716547687,"['Accepted - In Progress', 'Accepted - Wait - User', 'Completed - Resolved']",Completed - Closed
1-716547687,['Completed - Closed'],end
1-716584541,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-716584541,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - Wait - User']",Accepted - In Progress
1-716584541,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-716584541,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716584541,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Accepted - Wait
1-716584541,"['Accepted - Wait', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - In Progress
1-716584541,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-716584541,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716584541,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Accepted - Wait - User
1-716584541,"['Accepted - Wait - User', 'Accepted - In Progress', 'Accepted - Wait']",Accepted - In Progress
1-716584541,"['Accepted - In Progress', 'Accepted - Wait', 'Accepted - In Progress']",Accepted - Wait
1-716584541,"['Accepted - Wait', 'Accepted - In Progress', 'Completed - Resolved']",Completed - Closed
1-716584541,"['Completed - Closed', 'Accepted - In Progress', 'Completed - Resolved']",Completed - Closed
1-716584541,['Completed - Closed'],end
1-716584881,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-716584881,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Assigned
1-716584881,"['Accepted - Assigned', 'Accepted - In Progress', 'Completed - Resolved']",Completed - Closed
1-716584881,['Completed - Closed'],end
1-716587209,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716587209,"['Accepted - In Progress', 'Accepted - Wait - User', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716587209,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - Assigned']",Accepted - In Progress
1-716587209,"['Accepted - In Progress', 'Completed - Resolved', 'Completed - Closed']",end
1-716629872,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - Wait - User']",Completed - Resolved
1-716629872,"['Completed - Resolved', 'Completed - Closed']",end
1-716650567,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716650567,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Accepted - Wait - Customer
1-716650567,"['Accepted - Wait - Customer', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - User
1-716650567,"['Accepted - Wait - User', 'Completed - Resolved', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-716650567,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-716650567,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - User
1-716650567,"['Accepted - Wait - User', 'Completed - Resolved', 'Completed - Closed']",end
1-716650593,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - Wait']",Queued - Awaiting Assignment
1-716650593,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716650593,"['Accepted - In Progress', 'Accepted - Wait', 'Completed - Resolved']",Completed - Closed
1-716650593,"['Completed - Closed', 'Completed - Closed', 'Accepted - In Progress']",Accepted - Wait
1-716650593,"['Accepted - Wait', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716650593,"['Accepted - In Progress', 'Accepted - Wait', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716650593,"['Accepted - In Progress', 'Accepted - Wait', 'Completed - Resolved']",Completed - Closed
1-716650593,['Completed - Closed'],end
1-716688713,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716688713,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-716688713,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Completed - Resolved']",Completed - Closed
1-716688713,['Completed - Closed'],end
1-716689691,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716689691,"['Accepted - In Progress', 'Accepted - Wait', 'Accepted - Wait - User']",Queued - Awaiting Assignment
1-716689691,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Wait']",Accepted - Wait - Implementation
1-716689691,"['Accepted - Wait - Implementation', 'Accepted - In Progress', 'Completed - Resolved']",Accepted - Assigned
1-716689691,"['Accepted - Assigned', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - In Progress
1-716689691,"['Accepted - In Progress', 'Completed - Resolved', 'Completed - Closed']",end
1-716949717,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716949717,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Accepted - Wait - User
1-716949717,"['Accepted - Wait - User', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-716949717,"['Accepted - In Progress', 'Accepted - Wait - User', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716949717,"['Accepted - In Progress', 'Completed - Resolved', 'Completed - Closed']",end
1-716962496,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - Wait']",Accepted - In Progress
1-716962496,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Assigned
1-716962496,"['Accepted - Assigned', 'Accepted - In Progress', 'Accepted - Wait - User']",Queued - Awaiting Assignment
1-716962496,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716962496,"['Accepted - In Progress', 'Accepted - Wait', 'Accepted - In Progress']",Accepted - Wait - User
1-716962496,"['Accepted - Wait - User', 'Accepted - Assigned', 'Accepted - In Progress']",Accepted - Assigned
1-716962496,"['Accepted - Assigned', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - Assigned
1-716962496,"['Accepted - Assigned', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - In Progress
1-716962496,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - In Progress']",Completed - Resolved
1-716962496,"['Completed - Resolved', 'Completed - Closed']",end
1-716981483,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716981483,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-716981483,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716981483,"['Accepted - In Progress', 'Accepted - Wait', 'Accepted - In Progress']",Accepted - Wait - Implementation
1-716981483,"['Accepted - Wait - Implementation', 'Accepted - Wait', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-716981483,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716981483,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-716981483,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Completed - Resolved']",Completed - Closed
1-716981483,['Completed - Closed'],end
1-716989377,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - Wait']",Queued - Awaiting Assignment
1-716989377,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-716989377,"['Accepted - In Progress', 'Accepted - Wait - User', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-716989377,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - In Progress
1-716989377,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Assigned
1-716989377,"['Accepted - Assigned', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - In Progress
